Filename;Width;Height;Roi.X1;Roi.Y1;Roi.X2;Roi.Y2;ClassId
10743.ppm;34;34;0;0;34;34;43
0_1675.ppm;128;128;0;0;128;128;43
0_120.ppm;128;128;0;0;128;128;43
0_1263.ppm;128;128;0;0;128;128;43
10184.ppm;65;65;0;0;65;65;43
3013.ppm;62;62;0;0;62;62;43
1659.ppm;40;40;0;0;40;40;43
9502.ppm;55;55;0;0;55;55;43
0_519.ppm;128;128;0;0;128;128;43
0_1743.ppm;128;128;0;0;128;128;43
0_270.ppm;128;128;0;0;128;128;43
2706.ppm;80;80;0;0;80;80;43
9690.ppm;67;67;0;0;67;67;43
0_798.ppm;128;128;0;0;128;128;43
1666.ppm;45;45;0;0;45;45;43
0_1243.ppm;128;128;0;0;128;128;43
242.ppm;67;67;0;0;67;67;43
3943.ppm;35;35;0;0;35;35;43
3959.ppm;56;56;0;0;56;56;43
10036.ppm;70;70;0;0;70;70;43
12071.ppm;74;74;0;0;74;74;43
0_1392.ppm;128;128;0;0;128;128;43
0_1184.ppm;128;128;0;0;128;128;43
0_489.ppm;128;128;0;0;128;128;43
200.ppm;55;55;0;0;55;55;43
0_1481.ppm;128;128;0;0;128;128;43
0_919.ppm;128;128;0;0;128;128;43
1679.ppm;60;60;0;0;60;60;43
2049.ppm;76;76;0;0;76;76;43
15787.ppm;74;74;0;0;74;74;43
0_1393.ppm;128;128;0;0;128;128;43
6081.ppm;107;107;0;0;107;107;43
9761.ppm;65;65;0;0;65;65;43
11923.ppm;79;79;0;0;79;79;43
0_1349.ppm;128;128;0;0;128;128;43
9625.ppm;67;67;0;0;67;67;43
11715.ppm;85;85;0;0;85;85;43
0_201.ppm;128;128;0;0;128;128;43
9724.ppm;62;62;0;0;62;62;43
0_183.ppm;128;128;0;0;128;128;43
0_820.ppm;128;128;0;0;128;128;43
0_727.ppm;128;128;0;0;128;128;43
0_1251.ppm;128;128;0;0;128;128;43
0_310.ppm;128;128;0;0;128;128;43
6333.ppm;80;80;0;0;80;80;43
0_1277.ppm;128;128;0;0;128;128;43
0_740.ppm;128;128;0;0;128;128;43
0_786.ppm;128;128;0;0;128;128;43
0_1017.ppm;128;128;0;0;128;128;43
2764.ppm;77;77;0;0;77;77;43
0_1704.ppm;128;128;0;0;128;128;43
0_810.ppm;128;128;0;0;128;128;43
2786.ppm;91;91;0;0;91;91;43
0_950.ppm;128;128;0;0;128;128;43
2834.ppm;70;70;0;0;70;70;43
0_1061.ppm;128;128;0;0;128;128;43
0_1100.ppm;128;128;0;0;128;128;43
0_1771.ppm;128;128;0;0;128;128;43
7505.ppm;66;66;0;0;66;66;43
3527.ppm;61;61;0;0;61;61;43
0_1669.ppm;128;128;0;0;128;128;43
0_578.ppm;128;128;0;0;128;128;43
9116.ppm;79;79;0;0;79;79;43
6083.ppm;107;107;0;0;107;107;43
3020.ppm;87;87;0;0;87;87;43
6252.ppm;80;80;0;0;80;80;43
14219.ppm;144;144;0;0;144;144;43
9907.ppm;53;53;0;0;53;53;43
0_529.ppm;128;128;0;0;128;128;43
0_1064.ppm;128;128;0;0;128;128;43
12069.ppm;104;104;0;0;104;104;43
0_1459.ppm;128;128;0;0;128;128;43
0_1580.ppm;128;128;0;0;128;128;43
0_957.ppm;128;128;0;0;128;128;43
0_1785.ppm;128;128;0;0;128;128;43
9634.ppm;68;68;0;0;68;68;43
0_468.ppm;128;128;0;0;128;128;43
2750.ppm;70;70;0;0;70;70;43
2586.ppm;44;44;0;0;44;44;43
0_388.ppm;128;128;0;0;128;128;43
0_411.ppm;128;128;0;0;128;128;43
0_956.ppm;128;128;0;0;128;128;43
320.ppm;80;80;0;0;80;80;43
0_1004.ppm;128;128;0;0;128;128;43
12342.ppm;96;96;0;0;96;96;43
0_1403.ppm;128;128;0;0;128;128;43
0_1301.ppm;128;128;0;0;128;128;43
0_882.ppm;128;128;0;0;128;128;43
